id,onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,cached_at
1,13-2011.00,Accountants and Auditors,Finance,Commerce,C,E,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making, Writing",2026-03-22 08:07:23.79663+00
2,27-2011.00,Actors,Creative Arts,Arts,A,S,"Reading Comprehension, Speaking, Active Listening, Social Perceptiveness, Critical Thinking, Monitoring",2026-03-22 08:07:24.408264+00
3,15-2011.00,Actuaries,Technology,Science,C,I,"Critical Thinking, Judgment and Decision Making, Mathematics, Reading Comprehension, Active Listening, Complex Problem Solving",2026-03-22 08:07:25.001711+00
4,29-1291.00,Acupuncturists,Healthcare,Science,S,I,"Active Listening, Critical Thinking, Service Orientation, Social Perceptiveness, Speaking, Judgment and Decision Making",2026-03-22 08:07:25.594895+00
5,29-1141.01,Acute Care Nurses,Healthcare,Science,S,I,"Critical Thinking, Reading Comprehension, Service Orientation, Speaking, Active Learning, Active Listening",2026-03-22 08:07:26.182988+00
6,25-2059.01,Adapted Physical Education Specialists,Education,Arts,S,C,"Instructing, Active Learning, Active Listening, Social Perceptiveness, Speaking, Critical Thinking",2026-03-22 08:07:26.789779+00
7,51-9191.00,Adhesive Bonding Machine Operators and Tenders,Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Active Listening, Monitoring, Quality Control Analysis, Speaking",2026-03-22 08:07:27.389274+00
8,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal Services,Commerce,C,E,"Active Listening, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Writing, Speaking",2026-03-22 08:07:27.986002+00
9,11-3012.00,Administrative Services Managers,Management,Commerce,E,C,"Active Listening, Reading Comprehension, Time Management, Speaking, Coordination, Critical Thinking",2026-03-22 08:07:28.584501+00
10,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Education,Arts,S,A,"Instructing, Active Listening, Learning Strategies, Reading Comprehension, Speaking, Monitoring",2026-03-22 08:07:29.189927+00
11,29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare,Science,S,I,"Active Listening, Social Perceptiveness, Speaking, Critical Thinking, Judgment and Decision Making, Monitoring",2026-03-22 08:07:29.796355+00
12,11-2011.00,Advertising and Promotions Managers,Management,Commerce,E,C,"Active Listening, Critical Thinking, Social Perceptiveness, Speaking, Judgment and Decision Making, Reading Comprehension",2026-03-22 08:07:30.395691+00
13,41-3011.00,Advertising Sales Agents,Sales,Commerce,E,C,"Speaking, Persuasion, Service Orientation, Social Perceptiveness, Active Listening, Negotiation",2026-03-22 08:07:30.994631+00
14,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Engineering,Science,R,C,"Critical Thinking, Operations Monitoring, Quality Control Analysis, Reading Comprehension, Active Listening, Speaking",2026-03-22 08:07:31.606773+00
15,17-2011.00,Aerospace Engineers,Engineering,Science,I,R,"Critical Thinking, Reading Comprehension, Science, Active Listening, Complex Problem Solving, Mathematics",2026-03-22 08:07:32.20369+00
16,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Finance,Commerce,E,S,"Active Listening, Negotiation, Persuasion, Reading Comprehension, Speaking, Social Perceptiveness",2026-03-22 08:07:32.802128+00
17,17-2021.00,Agricultural Engineers,Engineering,Science,R,I,"Active Listening, Reading Comprehension, Speaking, Writing, Complex Problem Solving, Critical Thinking",2026-03-22 08:07:33.410906+00
18,45-2091.00,Agricultural Equipment Operators,Agriculture,Science,R,C,"Operation and Control, Operations Monitoring, Troubleshooting, Active Listening, Equipment Maintenance, Quality Control Analysis",2026-03-22 08:07:34.012832+00
19,45-2011.00,Agricultural Inspectors,Agriculture,Science,R,C,"Quality Control Analysis, Active Listening, Monitoring, Reading Comprehension, Critical Thinking, Speaking",2026-03-22 08:07:34.604699+00
20,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Education,Arts,S,I,"Instructing, Learning Strategies, Reading Comprehension, Speaking, Active Learning, Active Listening",2026-03-22 08:07:35.195581+00
21,19-4012.00,Agricultural Technicians,Research & Science,Science,R,I,"Reading Comprehension, Active Listening, Critical Thinking, Active Learning, Judgment and Decision Making, Monitoring",2026-03-22 08:07:35.791273+00
22,45-2099.00,"Agricultural Workers, All Other",Agriculture,Science,R,I,,2026-03-22 08:07:36.386442+00
23,55-3011.00,Air Crew Members,Military,Vocational,R,I,,2026-03-22 08:07:36.971296+00
24,55-1011.00,Air Crew Officers,Military,Vocational,R,I,,2026-03-22 08:07:37.561497+00
25,53-2021.00,Air Traffic Controllers,Logistics & Transport,Vocational,C,R,"Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Complex Problem Solving, Monitoring",2026-03-22 08:07:38.157915+00
26,53-1041.00,Aircraft Cargo Handling Supervisors,Logistics & Transport,Vocational,E,C,"Critical Thinking, Management of Personnel Resources, Active Listening, Monitoring, Speaking, Time Management",2026-03-22 08:07:38.759663+00
27,55-1012.00,Aircraft Launch and Recovery Officers,Military,Vocational,R,I,,2026-03-22 08:07:39.359056+00
28,55-3012.00,Aircraft Launch and Recovery Specialists,Military,Vocational,R,I,,2026-03-22 08:07:39.950109+00
29,49-3011.00,Aircraft Mechanics and Service Technicians,Maintenance & Repair,Vocational,R,C,"Equipment Maintenance, Repairing, Troubleshooting, Operations Monitoring, Reading Comprehension, Critical Thinking",2026-03-22 08:07:40.549099+00
30,53-6032.00,Aircraft Service Attendants,Logistics & Transport,Vocational,R,C,,2026-03-22 08:07:41.143227+00
31,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Manufacturing,Vocational,R,C,"Quality Control Analysis, Active Listening, Critical Thinking, Monitoring, Complex Problem Solving, Equipment Maintenance",2026-03-22 08:07:41.745069+00
32,53-2022.00,Airfield Operations Specialists,Logistics & Transport,Vocational,C,R,"Active Listening, Monitoring, Coordination, Critical Thinking, Reading Comprehension, Speaking",2026-03-22 08:07:42.342144+00
33,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Logistics & Transport,Vocational,R,C,"Operation and Control, Operations Monitoring, Active Listening, Critical Thinking, Monitoring, Judgment and Decision Making",2026-03-22 08:07:42.927822+00
34,29-1229.01,Allergists and Immunologists,Healthcare,Science,I,S,"Reading Comprehension, Active Listening, Critical Thinking, Judgment and Decision Making, Writing, Active Learning",2026-03-22 08:07:43.524502+00
35,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Logistics & Transport,Vocational,R,S,"Critical Thinking, Service Orientation, Active Listening, Active Learning, Reading Comprehension, Social Perceptiveness",2026-03-22 08:07:44.125512+00
36,39-3091.00,Amusement and Recreation Attendants,Personal Services,Vocational,C,S,"Speaking, Service Orientation, Active Listening, Social Perceptiveness",2026-03-22 08:07:44.734278+00
37,29-1071.01,Anesthesiologist Assistants,Healthcare,Science,C,S,"Active Listening, Monitoring, Reading Comprehension, Critical Thinking, Judgment and Decision Making, Speaking",2026-03-22 08:07:45.326194+00
38,29-1211.00,Anesthesiologists,Healthcare,Science,I,S,"Critical Thinking, Active Listening, Judgment and Decision Making, Monitoring, Complex Problem Solving, Reading Comprehension",2026-03-22 08:07:45.920906+00
39,45-2021.00,Animal Breeders,Agriculture,Science,R,C,"Critical Thinking, Active Learning, Active Listening, Complex Problem Solving, Judgment and Decision Making, Monitoring",2026-03-22 08:07:46.513731+00
40,39-2021.00,Animal Caretakers,Personal Services,Vocational,R,S,"Monitoring, Active Listening, Coordination, Judgment and Decision Making, Reading Comprehension, Service Orientation",2026-03-22 08:07:47.102489+00
41,33-9011.00,Animal Control Workers,Public Safety,Vocational,R,C,"Active Listening, Speaking, Critical Thinking, Coordination, Judgment and Decision Making, Monitoring",2026-03-22 08:07:47.69843+00
42,19-1011.00,Animal Scientists,Research & Science,Science,I,R,"Reading Comprehension, Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Science, Writing",2026-03-22 08:07:48.294689+00
43,39-2011.00,Animal Trainers,Personal Services,Vocational,R,S,"Instructing, Learning Strategies, Speaking, Critical Thinking, Active Learning, Active Listening",2026-03-22 08:07:48.889879+00
44,19-3091.00,Anthropologists and Archeologists,Research & Science,Science,I,A,"Speaking, Writing, Active Listening, Critical Thinking, Reading Comprehension, Active Learning",2026-03-22 08:07:49.572459+00
45,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Reading Comprehension, Writing, Instructing, Active Listening, Learning Strategies",2026-03-22 08:07:50.169267+00
46,13-2023.00,Appraisers and Assessors of Real Estate,Finance,Commerce,C,E,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Writing, Complex Problem Solving",2026-03-22 08:07:51.026617+00
47,13-2022.00,Appraisers of Personal and Business Property,Finance,Commerce,C,E,"Reading Comprehension, Critical Thinking, Writing, Active Listening, Speaking, Active Learning",2026-03-22 08:07:51.634109+00
48,23-1022.00,"Arbitrators, Mediators, and Conciliators",Legal Services,Commerce,E,C,"Negotiation, Active Listening, Writing, Reading Comprehension, Speaking, Critical Thinking",2026-03-22 08:07:52.239253+00
49,17-1011.00,"Architects, Except Landscape and Naval",Engineering,Science,R,C,"Critical Thinking, Operations Analysis, Reading Comprehension, Speaking, Active Listening, Writing",2026-03-22 08:07:52.838127+00
50,17-3011.00,Architectural and Civil Drafters,Engineering,Science,R,C,"Reading Comprehension, Complex Problem Solving, Systems Analysis, Active Learning, Critical Thinking, Writing",2026-03-22 08:07:53.446713+00
51,11-9041.00,Architectural and Engineering Managers,Management,Commerce,E,I,"Reading Comprehension, Active Listening, Complex Problem Solving, Speaking, Writing, Active Learning",2026-03-22 08:07:54.042009+00
52,25-1031.00,"Architecture Teachers, Postsecondary",Education,Arts,S,I,"Instructing, Learning Strategies, Reading Comprehension, Speaking, Active Listening, Writing",2026-03-22 08:07:54.647406+00
53,25-4011.00,Archivists,Education,Arts,C,I,"Reading Comprehension, Active Listening, Writing, Speaking, Active Learning, Critical Thinking",2026-03-22 08:07:55.242754+00
54,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Education,Arts,S,I,"Reading Comprehension, Instructing, Speaking, Active Learning, Active Listening, Learning Strategies",2026-03-22 08:07:55.929057+00
55,55-3013.00,Armored Assault Vehicle Crew Members,Military,Vocational,R,I,,2026-03-22 08:07:56.52302+00
56,55-1013.00,Armored Assault Vehicle Officers,Military,Vocational,R,I,,2026-03-22 08:07:57.127843+00
57,27-1011.00,Art Directors,Creative Arts,Arts,A,E,"Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Complex Problem Solving",2026-03-22 08:07:57.7302+00
58,29-1129.01,Art Therapists,Healthcare,Science,S,A,"Social Perceptiveness, Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Monitoring",2026-03-22 08:07:58.331936+00
59,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Education,Arts,S,A,"Speaking, Instructing, Learning Strategies, Active Learning, Active Listening, Reading Comprehension",2026-03-22 08:07:59.022722+00
60,55-3014.00,Artillery and Missile Crew Members,Military,Vocational,R,I,,2026-03-22 08:07:59.606694+00
61,55-1014.00,Artillery and Missile Officers,Military,Vocational,R,I,,2026-03-22 08:08:00.197341+00
62,27-1019.00,"Artists and Related Workers, All Other",Creative Arts,Arts,R,I,,2026-03-22 08:08:00.79401+00
63,51-2099.00,"Assemblers and Fabricators, All Other",Manufacturing,Vocational,R,I,,2026-03-22 08:08:01.381437+00
64,19-2011.00,Astronomers,Research & Science,Science,I,R,"Reading Comprehension, Science, Critical Thinking, Mathematics, Writing, Active Learning",2026-03-22 08:08:01.983253+00
65,27-2021.00,Athletes and Sports Competitors,Creative Arts,Arts,R,E,"Speaking, Active Listening, Critical Thinking, Coordination, Judgment and Decision Making, Monitoring",2026-03-22 08:08:02.571914+00
66,29-9091.00,Athletic Trainers,Healthcare,Science,S,R,"Active Listening, Critical Thinking, Judgment and Decision Making, Monitoring, Speaking, Active Learning",2026-03-22 08:08:03.157136+00
67,19-2021.00,Atmospheric and Space Scientists,Research & Science,Science,I,R,"Reading Comprehension, Active Learning, Active Listening, Critical Thinking, Science, Speaking",2026-03-22 08:08:03.758395+00
68,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Active Listening, Critical Thinking, Instructing, Reading Comprehension, Science",2026-03-22 08:08:04.351467+00
69,27-4011.00,Audio and Video Technicians,Creative Arts,Arts,R,C,"Monitoring, Critical Thinking, Operations Monitoring, Reading Comprehension, Complex Problem Solving, Active Listening",2026-03-22 08:08:04.953708+00
70,29-1181.00,Audiologists,Healthcare,Science,I,S,"Active Listening, Reading Comprehension, Active Learning, Critical Thinking, Social Perceptiveness, Speaking",2026-03-22 08:08:05.542166+00
71,49-2097.00,Audiovisual Equipment Installers and Repairers,Maintenance & Repair,Vocational,R,C,"Quality Control Analysis, Repairing, Troubleshooting, Complex Problem Solving, Equipment Maintenance, Installation",2026-03-22 08:08:06.147143+00
72,53-6031.00,Automotive and Watercraft Service Attendants,Logistics & Transport,Vocational,R,C,"Active Listening, Operation and Control, Service Orientation, Speaking, Time Management, Complex Problem Solving",2026-03-22 08:08:06.747434+00
73,49-3021.00,Automotive Body and Related Repairers,Maintenance & Repair,Vocational,R,C,"Repairing, Troubleshooting, Active Listening, Critical Thinking, Monitoring, Operations Monitoring",2026-03-22 08:08:07.335827+00
74,17-3027.01,Automotive Engineering Technicians,Engineering,Science,R,I,"Reading Comprehension, Critical Thinking, Speaking, Active Listening, Complex Problem Solving, Operations Monitoring",2026-03-22 08:08:07.937814+00
75,17-2141.02,Automotive Engineers,Engineering,Science,R,I,"Complex Problem Solving, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Mathematics, Speaking",2026-03-22 08:08:08.539307+00
76,49-3022.00,Automotive Glass Installers and Repairers,Maintenance & Repair,Vocational,R,C,"Installation, Equipment Selection, Speaking",2026-03-22 08:08:09.141104+00
77,49-3023.00,Automotive Service Technicians and Mechanics,Maintenance & Repair,Vocational,R,C,"Repairing, Troubleshooting, Critical Thinking, Operations Monitoring, Equipment Maintenance, Active Listening",2026-03-22 08:08:09.734529+00
78,53-6051.01,Aviation Inspectors,Logistics & Transport,Vocational,C,R,"Critical Thinking, Active Listening, Reading Comprehension, Speaking, Operations Monitoring, Quality Control Analysis",2026-03-22 08:08:10.331456+00
79,49-2091.00,Avionics Technicians,Maintenance & Repair,Vocational,R,C,"Equipment Maintenance, Repairing, Troubleshooting, Critical Thinking, Operations Monitoring, Quality Control Analysis",2026-03-22 08:08:10.923749+00
80,39-6011.00,Baggage Porters and Bellhops,Personal Services,Vocational,R,C,"Service Orientation, Active Listening, Speaking, Coordination, Critical Thinking",2026-03-22 08:08:11.523707+00
81,33-3011.00,Bailiffs,Public Safety,Vocational,R,C,"Social Perceptiveness, Monitoring, Speaking, Active Listening, Judgment and Decision Making, Critical Thinking",2026-03-22 08:08:12.118399+00
82,51-3011.00,Bakers,Manufacturing,Vocational,R,C,"Monitoring, Active Learning, Active Listening, Coordination, Critical Thinking, Judgment and Decision Making",2026-03-22 08:08:12.711786+00
83,39-5011.00,Barbers,Personal Services,Vocational,R,C,"Active Listening, Service Orientation, Social Perceptiveness, Speaking, Judgment and Decision Making",2026-03-22 08:08:13.310306+00
84,35-3023.01,Baristas,Hospitality,Vocational,R,S,"Active Listening, Service Orientation, Speaking, Social Perceptiveness, Coordination, Monitoring",2026-03-22 08:08:13.909357+00
85,35-3011.00,Bartenders,Hospitality,Vocational,R,C,"Active Listening, Service Orientation, Social Perceptiveness, Coordination, Critical Thinking, Persuasion",2026-03-22 08:08:14.504634+00
86,49-3091.00,Bicycle Repairers,Maintenance & Repair,Vocational,R,C,"Repairing, Active Listening, Critical Thinking, Troubleshooting, Equipment Maintenance, Equipment Selection",2026-03-22 08:08:15.098463+00
87,43-3011.00,Bill and Account Collectors,Administration,Commerce,C,E,"Active Listening, Speaking, Persuasion, Social Perceptiveness, Writing, Critical Thinking",2026-03-22 08:08:15.699748+00
88,43-3021.00,Billing and Posting Clerks,Administration,Commerce,C,I,"Reading Comprehension, Mathematics, Active Listening, Critical Thinking, Monitoring, Speaking",2026-03-22 08:08:16.295037+00
89,19-1021.00,Biochemists and Biophysicists,Research & Science,Science,I,R,"Science, Reading Comprehension, Critical Thinking, Writing, Active Learning, Active Listening",2026-03-22 08:08:16.893801+00
90,17-2031.00,Bioengineers and Biomedical Engineers,Engineering,Science,I,R,"Active Listening, Reading Comprehension, Speaking, Writing, Complex Problem Solving, Critical Thinking",2026-03-22 08:08:17.50582+00
91,51-8099.01,Biofuels Processing Technicians,Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Reading Comprehension, Monitoring, Quality Control Analysis, Active Listening",2026-03-22 08:08:18.105423+00
92,11-3051.03,Biofuels Production Managers,Management,Commerce,E,C,"Critical Thinking, Management of Personnel Resources, Reading Comprehension, Active Listening, Monitoring, Coordination",2026-03-22 08:08:18.708803+00
93,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Management,Commerce,I,E,"Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Speaking, Systems Analysis",2026-03-22 08:08:19.31603+00
94,19-1029.01,Bioinformatics Scientists,Research & Science,Science,I,C,"Critical Thinking, Reading Comprehension, Active Listening, Complex Problem Solving, Speaking, Writing",2026-03-22 08:08:19.908625+00
95,15-2099.01,Bioinformatics Technicians,Technology,Science,I,C,"Reading Comprehension, Active Learning, Active Listening, Complex Problem Solving, Critical Thinking, Judgment and Decision Making",2026-03-22 08:08:20.494301+00
96,25-1042.00,"Biological Science Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Instructing, Learning Strategies, Active Learning, Active Listening, Reading Comprehension",2026-03-22 08:08:21.179545+00
97,19-1029.00,"Biological Scientists, All Other",Research & Science,Science,R,I,,2026-03-22 08:08:21.77026+00
98,19-4021.00,Biological Technicians,Research & Science,Science,C,R,"Reading Comprehension, Critical Thinking, Active Listening, Science, Active Learning, Writing",2026-03-22 08:08:22.368067+00
99,19-1029.04,Biologists,Research & Science,Science,I,C,"Science, Reading Comprehension, Writing, Active Listening, Critical Thinking, Speaking",2026-03-22 08:08:22.953794+00
100,51-8013.03,Biomass Plant Technicians,Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Monitoring, Critical Thinking, Judgment and Decision Making, Active Learning",2026-03-22 08:08:23.56614+00
101,11-3051.04,Biomass Power Plant Managers,Management,Commerce,C,R,"Critical Thinking, Speaking, Active Listening, Monitoring, Reading Comprehension, Complex Problem Solving",2026-03-22 08:08:24.252252+00
102,15-2041.01,Biostatisticians,Technology,Science,I,C,"Mathematics, Active Learning, Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Reading Comprehension",2026-03-22 08:08:28.064464+00
103,15-1299.07,Blockchain Engineers,Technology,Science,C,I,,2026-03-22 08:08:28.685763+00
104,47-2011.00,Boilermakers,Construction,Vocational,R,C,"Operations Monitoring, Operation and Control, Critical Thinking, Equipment Maintenance, Quality Control Analysis, Repairing",2026-03-22 08:08:29.285365+00
105,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Administration,Commerce,C,E,"Mathematics, Active Listening, Critical Thinking, Reading Comprehension, Speaking, Writing",2026-03-22 08:08:29.986297+00
106,47-2021.00,Brickmasons and Blockmasons,Construction,Vocational,R,C,"Coordination, Critical Thinking, Active Listening, Monitoring, Operations Monitoring, Quality Control Analysis",2026-03-22 08:08:30.671583+00
107,53-6011.00,Bridge and Lock Tenders,Logistics & Transport,Vocational,R,C,"Monitoring, Active Listening, Coordination, Critical Thinking, Judgment and Decision Making, Operation and Control",2026-03-22 08:08:31.274589+00
108,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Creative Arts,Arts,A,E,"Speaking, Active Listening, Reading Comprehension, Critical Thinking, Social Perceptiveness, Time Management",2026-03-22 08:08:31.880268+00
109,27-4012.00,Broadcast Technicians,Creative Arts,Arts,C,R,"Critical Thinking, Active Listening, Monitoring, Operations Monitoring, Complex Problem Solving, Writing",2026-03-22 08:08:32.487211+00
110,43-4011.00,Brokerage Clerks,Administration,Commerce,C,E,"Active Listening, Speaking, Reading Comprehension, Time Management, Critical Thinking, Monitoring",2026-03-22 08:08:33.095354+00
111,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Management,Commerce,C,E,"Complex Problem Solving, Coordination, Critical Thinking, Judgment and Decision Making, Monitoring, Reading Comprehension",2026-03-22 08:08:33.706255+00
112,13-2031.00,Budget Analysts,Finance,Commerce,C,E,"Critical Thinking, Mathematics, Active Listening, Complex Problem Solving, Judgment and Decision Making, Reading Comprehension",2026-03-22 08:08:34.303993+00
113,37-2019.00,"Building Cleaning Workers, All Other",Maintenance & Repair,Vocational,R,I,,2026-03-22 08:08:34.890926+00
114,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Maintenance & Repair,Vocational,R,C,"Repairing, Troubleshooting, Operations Monitoring, Equipment Maintenance, Critical Thinking, Quality Control Analysis",2026-03-22 08:08:35.491532+00
115,53-3051.00,"Bus Drivers, School",Logistics & Transport,Vocational,R,C,"Active Listening, Critical Thinking, Monitoring, Social Perceptiveness, Operations Monitoring, Speaking",2026-03-22 08:08:36.08376+00
116,53-3052.00,"Bus Drivers, Transit and Intercity",Logistics & Transport,Vocational,R,C,"Operation and Control, Operations Monitoring, Active Listening, Critical Thinking, Service Orientation, Time Management",2026-03-22 08:08:36.678024+00
117,13-1199.04,Business Continuity Planners,Finance,Commerce,E,C,"Active Listening, Complex Problem Solving, Critical Thinking, Judgment and Decision Making, Active Learning, Reading Comprehension",2026-03-22 08:08:37.278797+00
118,15-2051.01,Business Intelligence Analysts,Technology,Science,C,I,"Reading Comprehension, Active Learning, Active Listening, Critical Thinking, Speaking, Writing",2026-03-22 08:08:37.870058+00
119,13-1199.00,"Business Operations Specialists, All Other",Finance,Commerce,R,I,,2026-03-22 08:08:38.464296+00
120,25-1011.00,"Business Teachers, Postsecondary",Education,Arts,S,I,"Speaking, Instructing, Active Listening, Learning Strategies, Reading Comprehension, Writing",2026-03-22 08:08:39.073513+00
121,51-3021.00,Butchers and Meat Cutters,Manufacturing,Vocational,R,C,"Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Service Orientation, Social Perceptiveness",2026-03-22 08:08:39.661763+00
122,13-1021.00,"Buyers and Purchasing Agents, Farm Products",Finance,Commerce,E,C,"Critical Thinking, Speaking, Active Listening, Judgment and Decision Making, Negotiation, Persuasion",2026-03-22 08:08:40.249384+00
123,51-7011.00,Cabinetmakers and Bench Carpenters,Manufacturing,Vocational,R,C,"Operations Monitoring, Quality Control Analysis, Monitoring, Operation and Control, Critical Thinking, Equipment Selection",2026-03-22 08:08:40.84762+00
124,17-3028.00,Calibration Technologists and Technicians,Engineering,Science,R,C,,2026-03-22 08:08:41.442766+00
125,49-9061.00,Camera and Photographic Equipment Repairers,Maintenance & Repair,Vocational,R,C,"Troubleshooting, Repairing, Critical Thinking, Equipment Maintenance, Quality Control Analysis, Active Listening",2026-03-22 08:08:42.044739+00
126,27-4031.00,"Camera Operators, Television, Video, and Film",Creative Arts,Arts,A,R,"Active Listening, Coordination, Judgment and Decision Making, Reading Comprehension, Speaking, Critical Thinking",2026-03-22 08:08:42.642093+00
127,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Logistics & Transport,Vocational,R,C,"Operation and Control, Monitoring, Speaking, Active Listening, Critical Thinking, Judgment and Decision Making",2026-03-22 08:08:43.232046+00
128,29-1212.00,Cardiologists,Healthcare,Science,I,R,,2026-03-22 08:08:43.821652+00
129,29-2031.00,Cardiovascular Technologists and Technicians,Healthcare,Science,R,I,"Active Listening, Critical Thinking, Monitoring, Operations Monitoring, Speaking, Reading Comprehension",2026-03-22 08:08:44.426731+00
130,25-2023.00,"Career/Technical Education Teachers, Middle School",Education,Arts,S,I,"Speaking, Active Listening, Instructing, Learning Strategies, Reading Comprehension, Critical Thinking",2026-03-22 08:08:45.024741+00
131,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Education,Arts,S,I,"Active Listening, Instructing, Learning Strategies, Active Learning, Reading Comprehension, Speaking",2026-03-22 08:08:45.62861+00
132,25-2032.00,"Career/Technical Education Teachers, Secondary School",Education,Arts,S,I,"Instructing, Active Listening, Learning Strategies, Reading Comprehension, Speaking, Critical Thinking",2026-03-22 08:08:46.226534+00
133,43-5011.00,Cargo and Freight Agents,Administration,Commerce,C,E,"Speaking, Active Listening, Critical Thinking, Reading Comprehension, Negotiation, Time Management",2026-03-22 08:08:46.82603+00
134,47-2031.00,Carpenters,Construction,Vocational,R,C,"Active Listening, Critical Thinking, Monitoring, Coordination, Quality Control Analysis, Reading Comprehension",2026-03-22 08:08:47.42301+00
135,47-2041.00,Carpet Installers,Construction,Vocational,R,C,"Coordination, Monitoring, Critical Thinking, Mathematics, Quality Control Analysis, Time Management",2026-03-22 08:08:48.012841+00
136,17-1021.00,Cartographers and Photogrammetrists,Engineering,Science,C,I,"Reading Comprehension, Critical Thinking, Writing, Active Listening, Active Learning, Complex Problem Solving",2026-03-22 08:08:48.60864+00
137,41-2011.00,Cashiers,Sales,Commerce,C,E,"Service Orientation, Active Listening, Social Perceptiveness, Speaking",2026-03-22 08:08:49.215028+00
138,47-2051.00,Cement Masons and Concrete Finishers,Construction,Vocational,R,C,"Monitoring, Coordination, Quality Control Analysis, Speaking, Time Management, Active Listening",2026-03-22 08:08:49.815552+00
139,35-1011.00,Chefs and Head Cooks,Hospitality,Vocational,E,R,"Coordination, Monitoring, Management of Personnel Resources, Social Perceptiveness, Speaking, Time Management",2026-03-22 08:08:50.405083+00
140,17-2041.00,Chemical Engineers,Engineering,Science,R,I,"Critical Thinking, Science, Complex Problem Solving, Reading Comprehension, Active Learning, Judgment and Decision Making",2026-03-22 08:08:51.012259+00
141,51-9011.00,Chemical Equipment Operators and Tenders,Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Monitoring, Active Listening, Critical Thinking, Judgment and Decision Making",2026-03-22 08:08:51.627411+00
142,51-8091.00,Chemical Plant and System Operators,Manufacturing,Vocational,R,C,"Operations Monitoring, Operation and Control, Monitoring, Quality Control Analysis, Critical Thinking, Active Listening",2026-03-22 08:08:52.24165+00
143,19-4031.00,Chemical Technicians,Research & Science,Science,I,R,"Science, Critical Thinking, Reading Comprehension, Active Listening, Monitoring, Writing",2026-03-22 08:08:52.851736+00
144,25-1052.00,"Chemistry Teachers, Postsecondary",Education,Arts,I,S,"Reading Comprehension, Speaking, Writing, Active Learning, Active Listening, Critical Thinking",2026-03-22 08:08:53.460258+00
145,19-2031.00,Chemists,Research & Science,Science,I,R,"Science, Critical Thinking, Reading Comprehension, Speaking, Active Listening, Mathematics",2026-03-22 08:08:54.072704+00
146,11-1011.00,Chief Executives,Management,Commerce,E,C,"Judgment and Decision Making, Complex Problem Solving, Critical Thinking, Coordination, Management of Financial Resources, Management of Personnel Resources",2026-03-22 08:08:54.666913+00
147,11-1011.03,Chief Sustainability Officers,Management,Commerce,E,I,"Critical Thinking, Writing, Active Listening, Complex Problem Solving, Reading Comprehension, Speaking",2026-03-22 08:08:55.358525+00
148,21-1021.00,"Child, Family, and School Social Workers",Social Service,Arts,S,I,"Active Listening, Speaking, Critical Thinking, Social Perceptiveness, Judgment and Decision Making, Reading Comprehension",2026-03-22 08:08:55.959156+00
149,39-9011.00,Childcare Workers,Personal Services,Vocational,S,A,"Monitoring, Service Orientation, Social Perceptiveness, Active Listening, Coordination, Critical Thinking",2026-03-22 08:08:56.588791+00
