id,onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,cached_at
643,49-3052.00,Motorcycle Mechanics,Maintenance & Repair,Vocational,R,C,"Repairing, Troubleshooting, Equipment Maintenance, Active Learning, Active Listening, Complex Problem Solving",2026-03-22 08:13:55.928677+00
644,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,Vocational,R,C,"Operations Monitoring, Quality Control Analysis, Equipment Maintenance, Judgment and Decision Making, Monitoring, Operation and Control",2026-03-22 08:13:56.541203+00
645,25-4013.00,Museum Technicians and Conservators,Education,Arts,R,C,"Active Listening, Reading Comprehension, Speaking, Critical Thinking, Writing, Complex Problem Solving",2026-03-22 08:13:57.142081+00
646,27-2041.00,Music Directors and Composers,Creative Arts,Arts,A,E,"Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Active Learning",2026-03-22 08:13:57.757736+00
647,29-1129.02,Music Therapists,Healthcare,Science,S,A,"Social Perceptiveness, Active Listening, Critical Thinking, Reading Comprehension, Service Orientation, Speaking",2026-03-22 08:13:58.357701+00
648,49-9063.00,Musical Instrument Repairers and Tuners,Maintenance & Repair,Vocational,R,C,"Quality Control Analysis, Repairing, Troubleshooting, Critical Thinking, Complex Problem Solving, Judgment and Decision Making",2026-03-22 08:13:58.963633+00
649,27-2042.00,Musicians and Singers,Creative Arts,Arts,A,E,"Speaking, Active Listening, Monitoring, Reading Comprehension, Social Perceptiveness, Coordination",2026-03-22 08:13:59.56655+00
650,39-9011.01,Nannies,Personal Services,Vocational,S,I,"Active Listening, Monitoring, Social Perceptiveness, Service Orientation, Speaking, Critical Thinking",2026-03-22 08:14:00.162244+00
651,17-2199.09,Nanosystems Engineers,Engineering,Science,I,R,"Critical Thinking, Reading Comprehension, Science, Speaking, Active Learning, Active Listening",2026-03-22 08:14:00.768943+00
652,17-3026.01,Nanotechnology Engineering Technologists and Technicians,Engineering,Science,R,I,"Reading Comprehension, Critical Thinking, Writing, Active Listening, Complex Problem Solving, Science",2026-03-22 08:14:01.432256+00
653,11-9121.00,Natural Sciences Managers,Management,Commerce,I,E,"Science, Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Complex Problem Solving",2026-03-22 08:14:02.02684+00
654,29-1299.01,Naturopathic Physicians,Healthcare,Science,I,S,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making, Social Perceptiveness",2026-03-22 08:14:02.634614+00
655,15-1244.00,Network and Computer Systems Administrators,Technology,Science,C,R,"Critical Thinking, Judgment and Decision Making, Reading Comprehension, Systems Analysis, Active Listening, Complex Problem Solving",2026-03-22 08:14:03.228365+00
656,29-2099.01,Neurodiagnostic Technologists,Healthcare,Science,I,R,"Active Listening, Speaking, Critical Thinking, Reading Comprehension, Monitoring, Writing",2026-03-22 08:14:03.830017+00
657,29-1217.00,Neurologists,Healthcare,Science,I,S,"Active Listening, Complex Problem Solving, Critical Thinking, Reading Comprehension, Social Perceptiveness, Speaking",2026-03-22 08:14:04.422766+00
658,19-3039.02,Neuropsychologists,Research & Science,Science,I,S,"Active Listening, Reading Comprehension, Writing, Critical Thinking, Judgment and Decision Making, Speaking",2026-03-22 08:14:05.119298+00
659,43-4141.00,New Accounts Clerks,Administration,Commerce,C,E,"Active Listening, Speaking, Reading Comprehension, Service Orientation, Social Perceptiveness, Coordination",2026-03-22 08:14:05.718527+00
660,27-3023.00,"News Analysts, Reporters, and Journalists",Creative Arts,Arts,A,I,"Speaking, Reading Comprehension, Writing, Active Listening, Social Perceptiveness, Time Management",2026-03-22 08:14:06.317067+00
661,17-3029.01,Non-Destructive Testing Specialists,Engineering,Science,R,I,"Quality Control Analysis, Reading Comprehension, Active Listening, Critical Thinking, Monitoring, Active Learning",2026-03-22 08:14:06.913025+00
662,17-2161.00,Nuclear Engineers,Engineering,Science,I,R,"Critical Thinking, Science, Active Listening, Complex Problem Solving, Judgment and Decision Making, Mathematics",2026-03-22 08:14:07.512336+00
663,29-2033.00,Nuclear Medicine Technologists,Healthcare,Science,R,I,"Critical Thinking, Active Listening, Speaking, Monitoring, Reading Comprehension, Writing",2026-03-22 08:14:08.100471+00
664,19-4051.02,Nuclear Monitoring Technicians,Research & Science,Science,R,C,"Active Listening, Critical Thinking, Monitoring, Operations Monitoring, Reading Comprehension, Speaking",2026-03-22 08:14:08.69352+00
665,51-8011.00,Nuclear Power Reactor Operators,Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Reading Comprehension, Active Listening, Critical Thinking, Monitoring",2026-03-22 08:14:09.300681+00
666,19-4051.00,Nuclear Technicians,Research & Science,Science,R,C,"Operations Monitoring, Monitoring, Active Listening, Critical Thinking, Reading Comprehension, Quality Control Analysis",2026-03-22 08:14:09.895682+00
667,29-1151.00,Nurse Anesthetists,Healthcare,Science,S,I,"Critical Thinking, Reading Comprehension, Active Learning, Active Listening, Complex Problem Solving, Judgment and Decision Making",2026-03-22 08:14:10.493809+00
668,29-1161.00,Nurse Midwives,Healthcare,Science,S,I,"Active Listening, Critical Thinking, Social Perceptiveness, Speaking, Active Learning, Monitoring",2026-03-22 08:14:11.092754+00
669,29-1171.00,Nurse Practitioners,Healthcare,Science,I,S,"Active Listening, Complex Problem Solving, Critical Thinking, Reading Comprehension, Active Learning, Judgment and Decision Making",2026-03-22 08:14:11.682147+00
670,31-1131.00,Nursing Assistants,Healthcare,Science,S,R,"Service Orientation, Active Listening, Social Perceptiveness, Monitoring, Coordination, Critical Thinking",2026-03-22 08:14:12.287727+00
